date, s2, s1
Thu Jan 28 18:15:07 2021,6.838,6.476

Thu Jan 28 18:15:50 2021,6.837,6.471

Thu Jan 28 18:16:33 2021,6.839,6.476

Thu Jan 28 18:17:16 2021,6.838,6.473

Thu Jan 28 18:17:58 2021,6.838,6.474

Thu Jan 28 18:18:41 2021,6.840,6.475

Thu Jan 28 18:19:24 2021,6.841,6.471

Thu Jan 28 18:20:07 2021,6.839,6.473

Thu Jan 28 18:20:50 2021,6.838,6.472

Thu Jan 28 18:21:33 2021,6.837,6.472

Thu Jan 28 18:22:16 2021,6.838,6.477

Thu Jan 28 18:22:59 2021,6.837,6.473

Thu Jan 28 18:23:42 2021,6.837,6.473

Thu Jan 28 18:24:25 2021,6.836,6.474

Thu Jan 28 18:25:08 2021,6.836,6.477

Thu Jan 28 18:25:50 2021,6.838,6.478

Thu Jan 28 18:26:33 2021,6.834,6.474

Thu Jan 28 18:27:16 2021,6.839,6.474

Thu Jan 28 18:27:59 2021,6.836,6.476

Thu Jan 28 18:28:42 2021,6.839,6.473

Thu Jan 28 18:29:25 2021,6.837,6.476

Thu Jan 28 18:30:08 2021,6.835,6.478

Thu Jan 28 18:30:51 2021,6.836,6.477

Thu Jan 28 18:31:34 2021,6.837,6.475

Thu Jan 28 18:32:17 2021,6.837,6.478

Thu Jan 28 18:33:00 2021,6.835,6.474

Thu Jan 28 18:33:43 2021,6.836,6.477

Thu Jan 28 18:34:25 2021,6.838,6.475

Thu Jan 28 18:35:08 2021,6.839,6.477

Thu Jan 28 18:35:51 2021,6.837,6.475

Thu Jan 28 18:36:34 2021,6.838,6.480

Thu Jan 28 18:37:17 2021,6.838,6.476

Thu Jan 28 18:38:00 2021,6.836,6.479

Thu Jan 28 18:38:43 2021,6.836,6.483

Thu Jan 28 18:39:26 2021,6.837,6.481

Thu Jan 28 18:40:09 2021,6.833,6.479

Thu Jan 28 18:40:52 2021,6.834,6.478

Thu Jan 28 18:41:35 2021,6.836,6.478

Thu Jan 28 18:42:17 2021,6.836,6.479

Thu Jan 28 18:43:00 2021,6.838,6.477

Thu Jan 28 18:43:43 2021,6.834,6.478

Thu Jan 28 18:44:26 2021,6.837,6.473

Thu Jan 28 18:45:09 2021,6.836,6.476

Thu Jan 28 18:45:52 2021,6.836,6.479

Thu Jan 28 18:46:35 2021,6.831,6.478

Thu Jan 28 18:47:18 2021,6.833,6.479

Thu Jan 28 18:48:01 2021,6.834,6.480

Thu Jan 28 18:48:44 2021,6.835,6.476

Thu Jan 28 18:49:27 2021,6.836,6.480

Thu Jan 28 18:50:09 2021,6.838,6.479

Thu Jan 28 18:50:52 2021,6.837,6.480

Thu Jan 28 18:51:35 2021,6.836,6.482

Thu Jan 28 18:52:18 2021,6.836,6.480

Thu Jan 28 18:53:01 2021,6.835,6.486

Thu Jan 28 18:53:44 2021,6.838,6.480

Thu Jan 28 18:54:27 2021,6.838,6.481

Thu Jan 28 18:55:10 2021,6.834,6.481

Thu Jan 28 18:55:53 2021,6.835,6.481

Thu Jan 28 18:56:36 2021,6.835,6.482

Thu Jan 28 18:57:19 2021,6.837,6.478

Thu Jan 28 18:58:02 2021,6.836,6.484

Thu Jan 28 18:58:45 2021,6.838,6.482

Thu Jan 28 18:59:27 2021,6.838,6.486

Thu Jan 28 19:00:10 2021,6.837,6.480

Thu Jan 28 19:00:53 2021,6.836,6.482

Thu Jan 28 19:01:36 2021,6.836,6.484

Thu Jan 28 19:02:19 2021,6.836,6.481

Thu Jan 28 19:03:02 2021,6.835,6.484

Thu Jan 28 19:03:45 2021,6.837,6.481

Thu Jan 28 19:04:28 2021,6.837,6.482

Thu Jan 28 19:05:11 2021,6.839,6.483

Thu Jan 28 19:05:54 2021,6.841,6.483

Thu Jan 28 19:06:37 2021,6.840,6.483

Thu Jan 28 19:07:20 2021,6.839,6.478

Thu Jan 28 19:08:03 2021,6.841,6.486

Thu Jan 28 19:08:46 2021,6.840,6.483

Thu Jan 28 19:09:29 2021,6.841,6.484

Thu Jan 28 19:10:12 2021,6.842,6.486

Thu Jan 28 19:10:55 2021,6.842,6.487

Thu Jan 28 19:11:38 2021,6.842,6.486

Thu Jan 28 19:12:21 2021,6.842,6.487

Thu Jan 28 19:13:04 2021,6.842,6.486

Thu Jan 28 19:13:46 2021,6.842,6.489

Thu Jan 28 19:14:29 2021,6.843,6.487

Thu Jan 28 19:15:12 2021,6.842,6.484

Thu Jan 28 19:15:55 2021,6.838,6.488

Thu Jan 28 19:16:38 2021,6.841,6.488

Thu Jan 28 19:17:21 2021,6.841,6.488

Thu Jan 28 19:18:04 2021,6.841,6.486

Thu Jan 28 19:18:47 2021,6.843,6.486

Thu Jan 28 19:19:30 2021,6.842,6.486

Thu Jan 28 19:20:13 2021,6.842,6.485

Thu Jan 28 19:20:56 2021,6.841,6.482

Thu Jan 28 19:21:39 2021,6.842,6.485

Thu Jan 28 19:22:22 2021,6.843,6.486

Thu Jan 28 19:23:05 2021,6.845,6.486

Thu Jan 28 19:23:48 2021,6.841,6.485

Thu Jan 28 19:24:31 2021,6.838,6.482

Thu Jan 28 19:25:14 2021,6.841,6.482

Thu Jan 28 19:25:57 2021,6.839,6.488

Thu Jan 28 19:26:40 2021,6.843,6.483

Thu Jan 28 19:27:23 2021,6.844,6.486

Thu Jan 28 19:28:06 2021,6.845,6.487

Thu Jan 28 19:28:49 2021,6.845,6.487

Thu Jan 28 19:29:31 2021,6.844,6.486

Thu Jan 28 19:30:14 2021,6.841,6.489

Thu Jan 28 19:30:57 2021,6.841,6.488

Thu Jan 28 19:31:40 2021,6.842,6.489

Thu Jan 28 19:32:23 2021,6.843,6.488

Thu Jan 28 19:33:06 2021,6.845,6.491

Thu Jan 28 19:33:49 2021,6.845,6.488

Thu Jan 28 19:34:32 2021,6.843,6.490

Thu Jan 28 19:35:15 2021,6.844,6.490

Thu Jan 28 19:35:58 2021,6.844,6.489

Thu Jan 28 19:36:41 2021,6.845,6.491

Thu Jan 28 19:37:24 2021,6.845,6.489

