date, s2, s1
Thu Jan 28 23:00:44 2021,6.859,6.515

Thu Jan 28 23:01:27 2021,6.860,6.510

Thu Jan 28 23:02:10 2021,6.860,6.515

Thu Jan 28 23:02:53 2021,6.859,6.512

Thu Jan 28 23:03:35 2021,6.859,6.511

Thu Jan 28 23:04:18 2021,6.858,6.512

Thu Jan 28 23:05:01 2021,6.860,6.512

Thu Jan 28 23:05:44 2021,6.861,6.511

Thu Jan 28 23:06:27 2021,6.861,6.513

Thu Jan 28 23:07:10 2021,6.858,6.515

Thu Jan 28 23:07:53 2021,6.858,6.515

Thu Jan 28 23:08:36 2021,6.857,6.514

Thu Jan 28 23:09:19 2021,6.859,6.515

Thu Jan 28 23:10:02 2021,6.858,6.514

Thu Jan 28 23:10:45 2021,6.858,6.515

Thu Jan 28 23:11:28 2021,6.855,6.514

Thu Jan 28 23:12:11 2021,6.859,6.513

Thu Jan 28 23:12:54 2021,6.856,6.514

Thu Jan 28 23:13:37 2021,6.856,6.514

