date, s2, s1
Thu Jan 28 18:14:58 2021,6.400,6.124

Thu Jan 28 18:15:41 2021,6.399,6.125

Thu Jan 28 18:16:24 2021,6.400,6.125

Thu Jan 28 18:17:07 2021,6.401,6.127

Thu Jan 28 18:17:50 2021,6.402,6.129

Thu Jan 28 18:18:33 2021,6.402,6.125

Thu Jan 28 18:19:16 2021,6.403,6.125

Thu Jan 28 18:19:59 2021,6.403,6.126

Thu Jan 28 18:20:42 2021,6.401,6.126

Thu Jan 28 18:21:25 2021,6.401,6.125

Thu Jan 28 18:22:08 2021,6.401,6.124

Thu Jan 28 18:22:51 2021,6.401,6.126

Thu Jan 28 18:23:34 2021,6.402,6.125

Thu Jan 28 18:24:17 2021,6.401,6.125

Thu Jan 28 18:25:00 2021,6.401,6.128

Thu Jan 28 18:25:43 2021,6.400,6.128

Thu Jan 28 18:26:26 2021,6.402,6.126

Thu Jan 28 18:27:09 2021,6.401,6.124

Thu Jan 28 18:27:52 2021,6.400,6.125

Thu Jan 28 18:28:35 2021,6.400,6.124

Thu Jan 28 18:29:18 2021,6.401,6.125

Thu Jan 28 18:30:01 2021,6.399,6.126

Thu Jan 28 18:30:44 2021,6.400,6.126

Thu Jan 28 18:31:27 2021,6.400,6.124

Thu Jan 28 18:32:10 2021,6.401,6.123

Thu Jan 28 18:32:53 2021,6.399,6.124

Thu Jan 28 18:33:36 2021,6.400,6.125

Thu Jan 28 18:34:19 2021,6.399,6.126

Thu Jan 28 18:35:02 2021,6.401,6.124

Thu Jan 28 18:35:45 2021,6.399,6.126

Thu Jan 28 18:36:28 2021,6.401,6.127

Thu Jan 28 18:37:11 2021,6.401,6.127

Thu Jan 28 18:37:54 2021,6.401,6.125

Thu Jan 28 18:38:37 2021,6.401,6.126

Thu Jan 28 18:39:20 2021,6.401,6.127

Thu Jan 28 18:40:03 2021,6.399,6.124

Thu Jan 28 18:40:46 2021,6.401,6.128

Thu Jan 28 18:41:28 2021,6.399,6.127

Thu Jan 28 18:42:11 2021,6.401,6.129

Thu Jan 28 18:42:54 2021,6.401,6.128

Thu Jan 28 18:43:37 2021,6.404,6.127

Thu Jan 28 18:44:20 2021,6.403,6.127

Thu Jan 28 18:45:03 2021,6.401,6.128

Thu Jan 28 18:45:46 2021,6.401,6.128

Thu Jan 28 18:46:29 2021,6.400,6.126

Thu Jan 28 18:47:12 2021,6.401,6.127

Thu Jan 28 18:47:55 2021,6.401,6.129

Thu Jan 28 18:48:38 2021,6.403,6.127

Thu Jan 28 18:49:21 2021,6.401,6.128

Thu Jan 28 18:50:04 2021,6.401,6.129

Thu Jan 28 18:50:47 2021,6.401,6.129

Thu Jan 28 18:51:30 2021,6.401,6.130

Thu Jan 28 18:52:13 2021,6.399,6.131

Thu Jan 28 18:52:56 2021,6.403,6.130

Thu Jan 28 18:53:39 2021,6.404,6.130

Thu Jan 28 18:54:22 2021,6.402,6.129

Thu Jan 28 18:55:05 2021,6.404,6.129

Thu Jan 28 18:55:48 2021,6.402,6.131

Thu Jan 28 18:56:31 2021,6.404,6.128

Thu Jan 28 18:57:14 2021,6.403,6.130

Thu Jan 28 18:57:57 2021,6.403,6.132

Thu Jan 28 18:58:40 2021,6.404,6.130

Thu Jan 28 18:59:23 2021,6.406,6.130

Thu Jan 28 19:00:06 2021,6.404,6.131

Thu Jan 28 19:00:49 2021,6.402,6.130

Thu Jan 28 19:01:32 2021,6.402,6.128

Thu Jan 28 19:02:15 2021,6.403,6.127

Thu Jan 28 19:02:58 2021,6.404,6.128

Thu Jan 28 19:03:41 2021,6.405,6.127

Thu Jan 28 19:04:24 2021,6.405,6.128

Thu Jan 28 19:05:07 2021,6.402,6.129

Thu Jan 28 19:05:50 2021,6.403,6.128

Thu Jan 28 19:06:33 2021,6.403,6.128

Thu Jan 28 19:07:15 2021,6.404,6.129

Thu Jan 28 19:07:58 2021,6.402,6.131

Thu Jan 28 19:08:41 2021,6.402,6.131

Thu Jan 28 19:09:24 2021,6.401,6.130

Thu Jan 28 19:10:07 2021,6.405,6.134

Thu Jan 28 19:10:50 2021,6.405,6.133

Thu Jan 28 19:11:33 2021,6.405,6.131

Thu Jan 28 19:12:16 2021,6.403,6.131

Thu Jan 28 19:12:59 2021,6.405,6.133

Thu Jan 28 19:13:42 2021,6.405,6.132

Thu Jan 28 19:14:25 2021,6.404,6.131

Thu Jan 28 19:15:08 2021,6.407,6.135

Thu Jan 28 19:15:51 2021,6.405,6.134

Thu Jan 28 19:16:34 2021,6.405,6.135

Thu Jan 28 19:17:17 2021,6.404,6.132

Thu Jan 28 19:18:01 2021,6.404,6.131

Thu Jan 28 19:18:44 2021,6.404,6.133

Thu Jan 28 19:19:27 2021,6.402,6.133

Thu Jan 28 19:20:10 2021,6.404,6.133

Thu Jan 28 19:20:53 2021,6.404,6.132

Thu Jan 28 19:21:36 2021,6.405,6.135

Thu Jan 28 19:22:19 2021,6.405,6.130

Thu Jan 28 19:23:02 2021,6.405,6.133

Thu Jan 28 19:23:45 2021,6.406,6.133

Thu Jan 28 19:24:28 2021,6.406,6.133

Thu Jan 28 19:25:11 2021,6.404,6.134

Thu Jan 28 19:25:54 2021,6.406,6.135

Thu Jan 28 19:26:37 2021,6.404,6.134

Thu Jan 28 19:27:20 2021,6.405,6.136

Thu Jan 28 19:28:03 2021,6.404,6.136

Thu Jan 28 19:28:46 2021,6.406,6.135

Thu Jan 28 19:29:29 2021,6.406,6.135

Thu Jan 28 19:30:12 2021,6.406,6.133

Thu Jan 28 19:30:55 2021,6.406,6.134

Thu Jan 28 19:31:38 2021,6.406,6.134

Thu Jan 28 19:32:21 2021,6.405,6.134

Thu Jan 28 19:33:04 2021,6.405,6.135

Thu Jan 28 19:33:47 2021,6.406,6.134

Thu Jan 28 19:34:30 2021,6.404,6.136

Thu Jan 28 19:35:13 2021,6.406,6.138

Thu Jan 28 19:35:56 2021,6.406,6.136

Thu Jan 28 19:36:39 2021,6.407,6.136

Thu Jan 28 19:37:22 2021,6.406,6.136

Thu Jan 28 19:38:05 2021,6.409,6.134

Thu Jan 28 19:38:48 2021,6.408,6.134

Thu Jan 28 19:39:31 2021,6.405,6.136

Thu Jan 28 19:40:14 2021,6.404,6.137

Thu Jan 28 19:40:57 2021,6.406,6.135

Thu Jan 28 19:41:40 2021,6.404,6.135

Thu Jan 28 19:42:23 2021,6.404,6.137

Thu Jan 28 19:43:06 2021,6.406,6.136

Thu Jan 28 19:43:49 2021,6.406,6.137

Thu Jan 28 19:44:32 2021,6.404,6.136

Thu Jan 28 19:45:15 2021,6.406,6.137

Thu Jan 28 19:45:58 2021,6.405,6.137

Thu Jan 28 19:46:41 2021,6.407,6.136

Thu Jan 28 19:47:24 2021,6.405,6.137

Thu Jan 28 19:48:07 2021,6.407,6.137

Thu Jan 28 19:48:50 2021,6.411,6.137

Thu Jan 28 19:49:34 2021,6.408,6.137

Thu Jan 28 19:50:17 2021,6.407,6.137

Thu Jan 28 19:51:00 2021,6.406,6.136

Thu Jan 28 19:51:43 2021,6.407,6.136

Thu Jan 28 19:52:26 2021,6.406,6.137

Thu Jan 28 19:53:09 2021,6.409,6.136

Thu Jan 28 19:53:52 2021,6.407,6.137

Thu Jan 28 19:54:35 2021,6.406,6.139

Thu Jan 28 19:55:18 2021,6.409,6.138

Thu Jan 28 19:56:01 2021,6.406,6.137

Thu Jan 28 19:56:44 2021,6.407,6.140

Thu Jan 28 19:57:27 2021,6.409,6.137

Thu Jan 28 19:58:10 2021,6.410,6.137

Thu Jan 28 19:58:53 2021,6.410,6.139

Thu Jan 28 19:59:36 2021,6.409,6.139

Thu Jan 28 20:00:19 2021,6.411,6.139

Thu Jan 28 20:01:02 2021,6.410,6.139

Thu Jan 28 20:01:45 2021,6.410,6.139

Thu Jan 28 20:02:28 2021,6.410,6.140

Thu Jan 28 20:03:11 2021,6.409,6.140

Thu Jan 28 20:03:54 2021,6.407,6.140

Thu Jan 28 20:04:37 2021,6.408,6.140

Thu Jan 28 20:05:20 2021,6.409,6.141

Thu Jan 28 20:06:03 2021,6.410,6.141

Thu Jan 28 20:06:46 2021,6.409,6.140

Thu Jan 28 20:07:29 2021,6.408,6.140

Thu Jan 28 20:08:12 2021,6.408,6.142

Thu Jan 28 20:08:55 2021,6.407,6.140

Thu Jan 28 20:09:38 2021,6.407,6.141

Thu Jan 28 20:10:21 2021,6.409,6.141

Thu Jan 28 20:11:04 2021,6.407,6.143

Thu Jan 28 20:11:47 2021,6.407,6.142

Thu Jan 28 20:12:30 2021,6.410,6.141

Thu Jan 28 20:13:13 2021,6.409,6.142

Thu Jan 28 20:13:56 2021,6.409,6.143

Thu Jan 28 20:14:39 2021,6.406,6.144

Thu Jan 28 20:15:22 2021,6.410,6.144

Thu Jan 28 20:16:05 2021,6.409,6.143

Thu Jan 28 20:16:48 2021,6.410,6.143

Thu Jan 28 20:17:32 2021,6.406,6.144

Thu Jan 28 20:18:15 2021,6.409,6.143

Thu Jan 28 20:18:58 2021,6.411,6.144

Thu Jan 28 20:19:41 2021,6.411,6.143

Thu Jan 28 20:20:24 2021,6.411,6.143

Thu Jan 28 20:21:07 2021,6.413,6.146

Thu Jan 28 20:21:50 2021,6.414,6.145

Thu Jan 28 20:22:33 2021,6.414,6.144

Thu Jan 28 20:23:16 2021,6.415,6.146

Thu Jan 28 20:23:59 2021,6.414,6.145

Thu Jan 28 20:24:42 2021,6.415,6.145

Thu Jan 28 20:25:25 2021,6.414,6.146

Thu Jan 28 20:26:08 2021,6.414,6.145

Thu Jan 28 20:26:51 2021,6.415,6.144

Thu Jan 28 20:27:34 2021,6.414,6.144

Thu Jan 28 20:28:17 2021,6.417,6.144

Thu Jan 28 20:29:00 2021,6.416,6.146

Thu Jan 28 20:29:43 2021,6.416,6.147

Thu Jan 28 20:30:26 2021,6.416,6.146

Thu Jan 28 20:31:09 2021,6.416,6.147

Thu Jan 28 20:31:52 2021,6.416,6.149

Thu Jan 28 20:32:35 2021,6.416,6.148

Thu Jan 28 20:33:18 2021,6.415,6.149

Thu Jan 28 20:34:01 2021,6.415,6.148

Thu Jan 28 20:34:44 2021,6.414,6.149

Thu Jan 28 20:35:27 2021,6.413,6.150

Thu Jan 28 20:36:10 2021,6.415,6.149

Thu Jan 28 20:36:53 2021,6.413,6.149

Thu Jan 28 20:37:36 2021,6.412,6.149

Thu Jan 28 20:38:19 2021,6.412,6.148

Thu Jan 28 20:39:02 2021,6.414,6.149

Thu Jan 28 20:39:45 2021,6.412,6.146

Thu Jan 28 20:40:29 2021,6.411,6.148

Thu Jan 28 20:41:12 2021,6.413,6.147

Thu Jan 28 20:41:55 2021,6.411,6.149

Thu Jan 28 20:42:38 2021,6.414,6.147

Thu Jan 28 20:43:21 2021,6.415,6.149

Thu Jan 28 20:44:04 2021,6.414,6.150

Thu Jan 28 20:44:47 2021,6.416,6.147

Thu Jan 28 20:45:30 2021,6.416,6.150

Thu Jan 28 20:46:13 2021,6.415,6.148

Thu Jan 28 20:46:56 2021,6.416,6.149

Thu Jan 28 20:47:39 2021,6.416,6.149

Thu Jan 28 20:48:22 2021,6.416,6.150

Thu Jan 28 20:49:05 2021,6.416,6.147

Thu Jan 28 20:49:48 2021,6.415,6.149

Thu Jan 28 20:50:31 2021,6.415,6.147

Thu Jan 28 20:51:14 2021,6.416,6.149

Thu Jan 28 20:51:57 2021,6.416,6.149

Thu Jan 28 20:52:40 2021,6.416,6.147

Thu Jan 28 20:53:23 2021,6.416,6.151

Thu Jan 28 20:54:06 2021,6.416,6.150

Thu Jan 28 20:54:49 2021,6.415,6.149

Thu Jan 28 20:55:32 2021,6.416,6.150

Thu Jan 28 20:56:15 2021,6.415,6.149

Thu Jan 28 20:56:58 2021,6.416,6.149

Thu Jan 28 20:57:41 2021,6.416,6.150

Thu Jan 28 20:58:24 2021,6.416,6.150

Thu Jan 28 20:59:07 2021,6.414,6.150

Thu Jan 28 20:59:50 2021,6.415,6.151

Thu Jan 28 21:00:33 2021,6.414,6.151

Thu Jan 28 21:01:16 2021,6.413,6.150

Thu Jan 28 21:01:59 2021,6.413,6.149

Thu Jan 28 21:02:42 2021,6.413,6.153

Thu Jan 28 21:03:25 2021,6.415,6.152

Thu Jan 28 21:04:08 2021,6.414,6.153

Thu Jan 28 21:04:51 2021,6.417,6.153

Thu Jan 28 21:05:34 2021,6.415,6.154

Thu Jan 28 21:06:17 2021,6.415,6.152

Thu Jan 28 21:07:00 2021,6.413,6.153

Thu Jan 28 21:07:43 2021,6.416,6.156

Thu Jan 28 21:08:26 2021,6.412,6.151

Thu Jan 28 21:09:09 2021,6.413,6.150

Thu Jan 28 21:09:52 2021,6.414,6.152

Thu Jan 28 21:10:35 2021,6.409,6.150

Thu Jan 28 21:11:18 2021,6.411,6.150

Thu Jan 28 21:12:01 2021,6.409,6.153

Thu Jan 28 21:12:44 2021,6.409,6.151

Thu Jan 28 21:13:27 2021,6.410,6.154

Thu Jan 28 21:14:11 2021,6.410,6.153

Thu Jan 28 21:14:54 2021,6.409,6.152

Thu Jan 28 21:15:37 2021,6.411,6.155

Thu Jan 28 21:16:20 2021,6.413,6.154

Thu Jan 28 21:17:03 2021,6.411,6.155

Thu Jan 28 21:17:46 2021,6.413,6.156

