date, s2, s1
Thu Jan 28 23:01:00 2021,6.388,6.162

Thu Jan 28 23:01:43 2021,6.389,6.163

Thu Jan 28 23:02:26 2021,6.387,6.165

Thu Jan 28 23:03:09 2021,6.388,6.165

Thu Jan 28 23:03:52 2021,6.390,6.166

Thu Jan 28 23:04:35 2021,6.388,6.167

Thu Jan 28 23:05:18 2021,6.390,6.167

Thu Jan 28 23:06:01 2021,6.389,6.168

Thu Jan 28 23:06:44 2021,6.389,6.169

Thu Jan 28 23:07:27 2021,6.388,6.168

Thu Jan 28 23:08:10 2021,6.387,6.168

Thu Jan 28 23:08:53 2021,6.389,6.170

Thu Jan 28 23:09:36 2021,6.388,6.170

Thu Jan 28 23:10:19 2021,6.388,6.171

Thu Jan 28 23:11:02 2021,6.388,6.168

Thu Jan 28 23:11:45 2021,6.388,6.172

Thu Jan 28 23:12:28 2021,6.387,6.171

Thu Jan 28 23:13:11 2021,6.386,6.171

Thu Jan 28 23:13:54 2021,6.386,6.172

