date,ACM1s2,ACM1s1,ACM0s2,ACM0s1
Tue Feb  2 22:00:45 2021,7.236,7.174,7.335,7.364
Tue Feb  2 22:05:16 2021,7.237,7.174,7.336,7.370
Tue Feb  2 22:10:17 2021,7.236,7.171,7.335,7.367
Tue Feb  2 22:15:18 2021,7.236,7.174,7.334,7.373
Tue Feb  2 22:20:19 2021,7.239,7.175,7.331,7.375
Tue Feb  2 22:25:20 2021,7.242,7.173,7.333,7.365
Tue Feb  2 22:30:21 2021,7.243,7.175,7.333,7.367
Tue Feb  2 22:35:22 2021,7.244,7.175,7.331,7.361
Tue Feb  2 22:40:23 2021,7.247,7.179,7.341,7.364
Tue Feb  2 22:45:24 2021,7.244,7.185,7.343,7.362
Tue Feb  2 22:50:25 2021,7.246,7.190,7.358,7.365
Tue Feb  2 22:55:26 2021,7.244,7.187,7.356,7.364
Tue Feb  2 23:00:27 2021,7.242,7.192,7.355,7.365
Tue Feb  2 23:05:28 2021,7.244,7.194,7.355,7.368
Tue Feb  2 23:10:29 2021,7.245,7.188,7.357,7.369
Tue Feb  2 23:15:30 2021,7.247,7.190,7.358,7.371
Tue Feb  2 23:20:30 2021,7.248,7.189,7.363,7.371
Tue Feb  2 23:25:31 2021,7.250,7.189,7.363,7.373
Tue Feb  2 23:30:32 2021,7.252,7.189,7.365,7.373
Tue Feb  2 23:35:33 2021,7.252,7.190,7.367,7.373
Tue Feb  2 23:40:34 2021,7.252,7.189,7.371,7.373
Tue Feb  2 23:45:35 2021,7.253,7.185,7.372,7.374
Tue Feb  2 23:50:36 2021,7.255,7.185,7.376,7.373
Tue Feb  2 23:55:36 2021,7.254,7.188,7.379,7.378
